campaign_id,campaign_name,Campaign_Type,Company,Role,Location,City_Size,platform,Is_Facebook,Is_LinkedIn,Is_Snapchat,Is_TikTok,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,CTR_Category,cpc_sek,CPC_Category,Daily_Spend,Clicks_Per_Day,Cost_Efficiency
120200123448250289,Atlas Copco Industrial - Technical Communicator R&D - Stockholm - Boost - Position ID: (49010) - MOA,Other,Atlas Copco Industrial,,Stockholm,Stor stad,facebook,1,0,0,0,29607,596,2670.0,13,2.0130374573580574,Medium,4.479865771812081,Low,205.3846153846154,45.84615384615385,22.322097378277153
120203169080250289,Atlas Copco Industrial - Electrical Motor Designer/Mechatronics Engineer - Stockholm - Boost - Position ID: (50172) - SIMON,Other,Atlas Copco Industrial,Ingenjör,Stockholm,Stor stad,facebook,1,0,0,0,53422,457,2670.0,7,0.8554528097038673,Very Low,5.842450765864333,Medium,381.42857142857144,65.28571428571429,17.116104868913858
120208215527440289,Atlas Copco Industrial - Projekttekniker - Göteborg - Facebook & Instagram Boost - Position ID: (53168) - SIMON,Recruitment,Atlas Copco Industrial,Tekniker,Göteborg,Stor stad,facebook,1,0,0,0,48663,648,2670.0,15,1.3316071758831145,Low,4.12037037037037,Low,178.0,43.2,24.269662921348313
120208447498330520,Smen´s - Grävmaskinist - Skara - Boost Plus - Position ID (52747) - MOA,Other,Smen´s,,Unknown,Unknown,facebook,1,0,0,0,78522,2735,2670.0,15,3.483100277629199,High,0.9762340036563072,Very Low,178.0,182.33333333333334,102.43445692883894
120204566063120289,Atlas Copco Industrial - Data Analyst / Engineer - Stockholm - Boost - Position ID: (51062) - SIMON,Other,Atlas Copco Industrial,Ingenjör,Stockholm,Stor stad,facebook,1,0,0,0,47856,982,2670.0,15,2.0519893012370445,Medium,2.7189409368635435,Low,178.0,65.46666666666667,36.77902621722847
120203168697150289,Atlas Copco Industrial - Lab engineer - mechatronic assembling and testing - Stockholm - Boost - Position ID: (50166) - SIMON,Other,Atlas Copco Industrial,Ingenjör,Stockholm,Stor stad,facebook,1,0,0,0,59877,1137,2670.0,7,1.8988927300966985,Low,2.3482849604221636,Low,381.42857142857144,162.42857142857142,42.58426966292135
120201139549080592,Sandhs - Anläggare & Rörläggare - Kinna - Facebook & Instagram Boost - Position ID (48057) - LINNEA,Other,Sandhs,,Unknown,Unknown,facebook,1,0,0,0,64050,1482,2670.0,15,2.3138173302107727,Medium,1.8016194331983804,Very Low,178.0,98.8,55.50561797752809
23858764239050288,Atlas Copco Compressor & Power Technique - Servicetekniker till Atlas Copco Compressor - Skåne - Facebook & Instagram Boost - Position ID: (47735) - LINNEA,Product/Service,Atlas Copco Compressor & Power Technique,Tekniker,Unknown,Unknown,facebook,1,0,0,0,68799,1730,2670.0,15,2.514571432724313,Medium,1.5433526011560692,Very Low,178.0,115.33333333333333,64.7940074906367
23860481975650591,Guldmann - Montör - Stockholm/Mälardalen - Boost - Position ID: (47597) - MOA,Other,Guldmann,,Stockholm,Stor stad,facebook,1,0,0,0,46340,2169,2670.0,15,4.680621493310316,High,1.230982019363762,Very Low,178.0,144.6,81.23595505617978
120208658278600498,Kronfågel - Säljare – Distrikt Stockholm - Stockholm - Boost - Position ID: (53206) - LINNEA,Recruitment,Kronfågel,Säljare,Stockholm,Stor stad,facebook,1,0,0,0,53760,2635,2670.0,15,4.901413690476191,High,1.0132827324478177,Very Low,178.0,175.66666666666666,98.68913857677903
